Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
210982,Z3E Parking Lot,10/25/2021 1537 hours,Between10/22/2021 200010/25/2021 1400,"An officer documented information in reference to damaged property, which occurred in the Z3-E parking lot. A vehicle was damaged.",Incident Report - Case Closed,General Damaged Property
210981,18th Street,10/25/2021 1216 hours,10/25/2021 1216 hours,"An officer investigated a traffic accident, with injuries, which occurred at 18th Street and Flint Avenue.",Incident Report - Case Closed,Vehicle accident
210980,Stangel Res. Hall,10/25/2021 1039 hours,Between10/24/2021 074510/25/2021 0840,"An officer investigated theft, which occurred at the east bicycle racks at Stangel Residence Hall. A secured bicycle was stolen.",Open Active,Bike theft
210979,Weeks Hall,10/25/2021 0948 hours,Between10/21/2021 170010/25/2021 0800,"An officer investigated theft, which occurred at Weeks Hall. A book was stolen from a desk.",Open Inactive,General theft
210978,Texas Tech Plaza,10/25/2021 0832 hours,Between10/22/2021 163010/25/2021 0800,"An officer investigated criminal mischief, which occurred on the second floor at the Texas Tech Plaza building. A window was damaged.",Open Inactive,Criminal mischief
210977,"Talkington Res. Hall, J.T. & Margaret",10/25/2021 0219 hours,10/25/2021 0219 hours,"An officer arrested  a student for public intoxication, which occurred at Talkington Residence Hall, following a report of a suspicious person. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210976,Z4P Parking Lot,10/25/2021 0049 hours,10/25/2021 0049 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in the Z4-P parking lot, following a check on a vehicle.  The student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
210975,Z1B Parking Lot,10/24/2021 2323 hours,Between10/24/2021 103010/24/2021 1700,"An officer investigated burglary of a motor vehicle, which occurred in the Z1-B parking lot. A backpack with contents were stolen from a secured vehicle.",Open Inactive,Burgalry of a motor vehicle
210974,Z1B Parking Lot,10/24/2021 1726 hours,Between10/24/2021 162010/24/2021 1716,"An officer investigated burglary of a motor vehicle, which occurred in the Z1-B parking lot. Various items were stolen from an secured vehicle.",Open Inactive,Burgalry of a motor vehicle
210973,Z4R Parking Lot,10/24/2021 1542 hours,Between10/23/2021 180010/24/2021 1454,"An officer investigated criminal mischief, which occurred in the Z4-R parking lot. A vehicle was damaged.",Incident Report - Case Closed,Criminal mischief
210972,Z6B Parking Lot,10/24/2021 1421 hours,Between10/23/2021 180010/24/2021 1400,"An officer investigated duty on striking an unattended vehicle, which occurred in the Z6-B parking lot.",Open Active,Striking of unattended vehicle
210970,Chitwood Res. Hall,10/24/2021 1030 hours,Between10/23/2021 100010/24/2021 0800,"An officer investigated criminal mischief, which occurred at Chitwood Residence Hall. Several ceiling tiles, soap dispensers and exit signs were damaged.",Open Active,Criminal mischief
2141836,"Museum, Texas Tech",10/23/2021 2120 hours,10/23/2021 1632 hours,"TTPD assisted Lubbock Police Department with a domestic violence incident that occurred in the TTU Museum parking lot. LPD is investigating the incident, report number 21-41836",Open Active,UNDEFINED
210968,Z1B Parking Lot,10/23/2021 1836 hours,Between10/22/2021 000010/23/2021 1830,"An officer investigated criminal mischief, which occurred in the Z1-B parking lot. A  vehicle's antenna, rear wiper blade, driver's side mirror and driver side door were damaged.",Open Inactive,Criminal mischief
210967,Flint Avenue,10/23/2021 1827 hours,10/23/2021 1827 hours,"An officer arrested  a non-student for outstanding City of Lubbock warrants, which occurred in the 1400 block of Flint Avenue. The non-student was also issued a criminal trespass warning for all Texas Tech property and transported to  the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
210966,Boston Avenue,10/23/2021 1340 hours,10/23/2021 1340 hours,"An officer investigated a traffic accident, with minor injuries, which occurred at 19th Street and Boston Avenue.",Incident Report - Case Closed,Vehicle accident
210965,Z4N Parking Lot,10/23/2021 1302 hours,Between10/21/2021 040010/21/2021 0700,"An officer investigated burglary of a motor vehicle, which occurred in Z4-N parking  lot. Personal items were stolen from an unsecured vehicle.",Open Active,Burgalry of a motor vehicle
210964,R7 Parking Lot,10/23/2021 0239 hours,10/23/2021 0239 hours,"An officer arrested  a non-student for public intoxication, which occurred in the R7 parking  lot construction site. The non-student was also issued a Lubbock County  citation for possession of a fictitious license and possession of e-Cigarettes by a minor. The non-student was released, pending the filing of charges, for criminal trespass. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210957,Flint Avenue,10/22/2021 2345 hours,10/22/2021 2345 hours,"An officer arrested  a non-student for an outstanding Lubbock County Sheriff's Office Warrant, which occurred in the 900 block of Flint Avenue. The non-student was also issued a Lubbock County citation for possession of drug paraphernalia and was criminally trespassed from all Texas Tech property. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210963,West Village B Res. Hall,10/22/2021 2006 hours,10/22/2021 2006 hours,"An officer documented information in reference to a welfare check on a student, which occurred at West Village B Residence Hall.",Incident Report - Case Closed,Welfare check
210962,Red Raider Avenue,10/22/2021 1752 hours,10/22/2021 1752 hours,"An officer arrested  a non-student for possession of a controlled substance (THC Oil) and outstanding City of Lubbock Municipal warrants, which occurred in the 600 block of Red Raider Avenue. The non-student was issued a criminal trespass warning for all Texas Tech property and was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210961,Z4M Parking Lot,10/22/2021 0314 hours,10/22/2021 0314 hours,"An officer arrested  a student for driving while intoxicated, possession of a controlled substance (cocaine), and instantered Lubbock County citations for possession of a fictitious license, possession of alcohol by a minor and  possession of tobacco products by a minor, which occurred in the Z4-P parking lot. The student was transported to the Lubbock County Jail, and  the vehicle was impounded by Lubbock Wrecker Services.",Cleared By Arrest,DUI
210959,Weymouth Res. Hall,10/22/2021 0140 hours,10/22/2021 0140 hours,"An officer issued a  student a Lubbock County citation for consumption of alcohol by a minor  and possession of a fictitious license, which occurred at Weymouth Residence Hall. A second student was issued a Lubbock County citation for consumption of alcohol by a minor and possession of e-Cigarettes by a  minor. The two students signed the citations and were released.",Cleared By Arrest,Consumption of alcohol by a minor
210958,Weymouth Res. Hall,10/22/2021 0117 hours,10/22/2021 0117 hours,"An officer arrested  a student for public intoxication, which occurred at Weymouth Residence  Hall. The student was also released, pending the filing of charges, for  assault (domestic violence) after assaulting a roommate. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
210960,Classical & Modern Languages and Literatures,10/22/2021 0044 hours,10/22/2021 0044 hours,"An officer documented information in reference to damaged property, which occurred at the Classical & Modern Languages and Literatures building. A broken hot water pipe caused flooding and damage.",Incident Report - Case Closed,General Damaged Property
210956,Weymouth Res. Hall,10/21/2021 2226 hours,10/21/2021 2226 hours,"An officer issued a  student a Lubbock County citation for possession of a fictitious license and possession of e-Cigarettes by a minor, which occurred at Weymouth Residence Hall. The student signed the citation and was released.",Cleared By Arrest,Fictitious license
210955,Z4P Parking Lot,10/21/2021 2050 hours,Between10/20/2021 230010/21/2021 2030,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-P parking lot. Various items were stolen from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210954,Gates Res. Hall,10/21/2021 1532 hours,Between10/14/2021 170010/14/2021 1800,"An officer investigated indecent assault (forcible fondling), which occurred at Gates Residence Hall. A student was assaulted by another student.",Open Active,Assault
210953,Z4P Parking Lot,10/21/2021 1433 hours,Between10/16/2021 190010/21/2021 1413,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-P parking lot. U.S. currency was taken from an unsecured vehicle.",Open Inactive,Burgalry of a motor vehicle
210952,Red Raider Avenue,10/21/2021 0049 hours,10/21/2021 0049 hours,"An officer arrested  a non-student for possession of a controlled substance (methamphetamine), possession of dangerous drugs, possession of identifying information and possession of drug paraphernalia, which occurred in the 600 block of Red Raider Avenue, following a bicycle stop. The non-student was also criminally trespassed from all Texas Tech  property. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
210951,Z2B Parking Lot,10/20/2021 1443 hours,Between10/19/2021 180010/20/2021 1430,"An officer investigated theft, which occurred in the Z2-B parking lot. A Mercedes Benz hood emblem was stolen.",Open Inactive,General theft
210950,Z4P Parking Lot,10/20/2021 1423 hours,Between10/20/2021 003010/20/2021 1330,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-P parking lot. Property was stolen from an unsecured vehicle.",Open Active,Burgalry of a motor vehicle
210949,Z4P Parking Lot,10/20/2021 1335 hours,Between10/18/2021 084510/20/2021 1330,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-P parking lot. Property was stolen from an unsecured vehicle.",Open Active,Burgalry of a motor vehicle
210948,Z4P Parking Lot,10/20/2021 1242 hours,Between10/19/2021 123010/20/2021 1230,"An officer investigated burglary of a motor vehicle, which occurred in the Z4-P parking lot. Property was stolen from an unsecured vehicle.",Open Active,Burgalry of a motor vehicle
